Country,r,R2,t,p.value,parameter,conf.low,conf.high
USA,0.07768896402545099,0.006035575131347818,4.530355262560318,6.092140513225067e-6,3380,0.044099816372279624,0.11110266624608729
DEU,0.11851487363821903,0.014045775273483023,3.7781425720784254,1.6731620364729869e-4,1002,0.057063878273894954,0.17907125652871092
UK,0.07342789695206718,0.005391656050803397,2.0042142451958673,0.04541058548806756,741,0.0015105813409964585,0.1445895662240456
