Residence,Measure1,Measure2,r,p
Germany,GAD7,SPIN,0.46352313570329867,1.2705897028754699e-54
Germany,GAD7,SWL,-0.4068450013951325,2.6209120053953215e-41
Germany,SPIN,SWL,-0.34697487071284366,8.850705720279198e-30
UK,GAD7,SPIN,0.5264941680055261,3.243906567980871e-54
UK,GAD7,SWL,-0.4600443667125868,3.453217475189049e-40
UK,SPIN,SWL,-0.3551274635138808,1.664399863053638e-23
USA,GAD7,SPIN,0.4632289433702731,1.5577789805891447e-179
USA,GAD7,SWL,-0.39827122082495575,5.934908986248906e-129
USA,SPIN,SWL,-0.3049107645030564,1.0768602978186552e-73
